Timestamp,Company' name ,Please submit your slide here,Spreadsheet_Name
11/6/2024 16:08,SkinCheck,https://drive.google.com/open?id=1H79eOosD3w2IwtBI2191FcuVMtl6vWV6sDgb1yMc3gc,Product Demo  (Responses)
11/7/2024 0:41,The Parkour Company,https://drive.google.com/open?id=1P0tvSDVc7qwOjzORTINm1s_VtN_JETIWLvM25UUuEwU,Product Demo  (Responses)
11/7/2024 6:15,Littoral,https://drive.google.com/open?id=1ToAnsHpnZRArUqwhfAZdxa8dVHCMb2-pfv2dZAGtbiM,Product Demo  (Responses)
11/7/2024 6:58,Kathalyst,https://drive.google.com/open?id=1wrzFUtU8Hat1F4hmYwW_qjJhKP1KQgGS3QKU2wTT64Y,Product Demo  (Responses)
11/7/2024 9:09,Shifa Precision,https://drive.google.com/open?id=1YBg55rR9cVz5Nr_w6Bi9NQPIbCdpSGOv,Product Demo  (Responses)
11/7/2024 9:20,Datafend,https://drive.google.com/open?id=1rHG4sLjSJXs91WBBGiV84eD6fCQYBjnH,Product Demo  (Responses)
11/7/2024 9:23,Endurant Healthspan,https://drive.google.com/open?id=1nNeGxXoWQXl3pyWQO8swhau6HV4bbX2jv4z1tY16Bcg,Product Demo  (Responses)
11/7/2024 10:04,Aisle Ai,https://drive.google.com/open?id=1Mg34ISzNREYw6ff9oxiIEy0X71kPChaX,Product Demo  (Responses)
11/13/2024 22:49,The Parkour Company,https://drive.google.com/open?id=12kCDz4jh4PyB1hbWrte8iIh5SBuVrE74r4Hqy7-wWXU,Product Demo  (Responses)
10/30/2024 2:42,Kathalyst,https://drive.google.com/open?id=1Jci14JP0UhcD3QKHj3TyRjVAMBt9QjMWi1kRCIbycUo,Metrics and Features (Responses)
10/30/2024 7:52,"Markets EQ, Inc.",https://drive.google.com/open?id=1Vs7qqX6CGPZzLqQEm5-VxDXPt-e45y8M,Metrics and Features (Responses)
10/30/2024 20:32,Aisle Ai,https://drive.google.com/open?id=1uDl12jIrRqlUZPYwTBTegRs33dfyeIPsboOIVsRv_xY,Metrics and Features (Responses)
10/30/2024 21:28,Preloved Guru,https://drive.google.com/open?id=1SSRvTXbWBtxPXC-0jKryL7P9aWQKwepdAhbE0IGSIGE,Metrics and Features (Responses)
10/30/2024 21:57,SkinCheck,https://drive.google.com/open?id=1OErDG0CO349ues-ENW8EkU9rTZyjJ5C5,Metrics and Features (Responses)
10/30/2024 21:59,Endurant Healthspan,https://drive.google.com/open?id=1cm7Zsl77bTW3JtlUcblkgyjYIpS9E9617DZCVKq6ScQ,Metrics and Features (Responses)
10/31/2024 1:43,The Parkour Company,https://drive.google.com/open?id=1_0J4KJpGc4-kZ9PW95aOmK-Aq0PukAmGrgV7Fm5bR-E,Metrics and Features (Responses)
10/31/2024 3:58,Datafend,https://drive.google.com/open?id=1JEyBSSuaUtzMlqkShOvc1gv0tIAw6fQ0,Metrics and Features (Responses)
10/31/2024 7:34,Littoral,https://drive.google.com/open?id=1mfSRTPXHUDlyv-ntWRfbhX6qSHRyt0IlfybKJybEvmw,Metrics and Features (Responses)
10/31/2024 9:43,Shifa Precision,https://drive.google.com/open?id=1W3TesmfR3Dusof-3XR3KIOuoNktw_x30,Metrics and Features (Responses)
10/22/2024 23:08,Preloved Guru,https://drive.google.com/open?id=1gz8NRWQd8FNOnwukhOFEAuDQz6QweUQOQL3UMhKv17w,Customer Discovery Retrospective (Responses)
10/23/2024 13:35,Shifa Precision,https://drive.google.com/open?id=12Tdp1fVZCt_c-agm7rMa3_FkiN_FxEfJ,Customer Discovery Retrospective (Responses)
10/23/2024 17:37,SkinCheck,https://drive.google.com/open?id=1EPPKx7cQj2Q8cdZYOgaIRoK57pdC15ls,Customer Discovery Retrospective (Responses)
10/23/2024 18:47,The Parkour Company,https://drive.google.com/open?id=1bB1vkQ_CR0Ogn61pgCefGRjsD42WnH95RbLmeUrmjWk,Customer Discovery Retrospective (Responses)
10/24/2024 6:38,"Markets EQ, Inc.",https://drive.google.com/open?id=1imc90MASRtJ44wuDXi8Ioi25fPemXbVp,Customer Discovery Retrospective (Responses)
10/24/2024 7:46,Datafend,https://drive.google.com/open?id=12k1PVYa0ggGH6NsnqIM6w9o_VbUaHvAF,Customer Discovery Retrospective (Responses)
10/24/2024 9:53,Kathalyst,https://drive.google.com/open?id=1HuUx5gAoCAAtuP6Rl7VSwfw6bdN7YHIKwO7iWzUAvUc,Customer Discovery Retrospective (Responses)
10/24/2024 10:29,Aisle Ai,https://drive.google.com/open?id=1NjaiXMDyxwgjnLI1w3sQ2uzeoOy2lzfJ2gPS1cJQq-o,Customer Discovery Retrospective (Responses)
10/24/2024 11:33,Littoral,https://drive.google.com/open?id=1_q_xhDPjn7tyxTokyTX3lrHjb4Xe0Z2sor7pv-uoom0,Customer Discovery Retrospective (Responses)
10/24/2024 14:00,Endurant Healthspan,https://drive.google.com/open?id=1DP5WD79zdkepKgcp4RKIX3WNORlAy1cAQHxwgVQ_QKc,Customer Discovery Retrospective (Responses)
10/16/2024 21:21,Shifa Precision,https://drive.google.com/open?id=1KCiUwICRiqjHtuqMDSj_uDOwd4ssYIIC,AI-First Venture Thesis and Value Proposition (Responses)
10/16/2024 21:32,The Parkour Company,https://drive.google.com/open?id=1uRklpLgxbCnW7F3oW5GifO_Vm98uOs5HdnxWqaqrJK8,AI-First Venture Thesis and Value Proposition (Responses)
10/16/2024 21:41,Aisle Ai,https://drive.google.com/open?id=1UX8gGsjANFtktNj374oLXZjPA424aE5N,AI-First Venture Thesis and Value Proposition (Responses)
10/17/2024 5:07,Aisle Ai,https://drive.google.com/open?id=1qq9FuUmrYn5An3GtaKxeXVwAPZfqchFf,AI-First Venture Thesis and Value Proposition (Responses)
10/17/2024 7:54,Endurant Healthspan,https://drive.google.com/open?id=1fcwBelY4vKfDG10Srb6YHBJ4hWh0JqOPIRrxtxCUrgw,AI-First Venture Thesis and Value Proposition (Responses)
10/17/2024 8:44,Kathalyst,https://drive.google.com/open?id=1XchIthIQLsDNpcjPhX9-PLws12y_bRQfk957-hYCJMA,AI-First Venture Thesis and Value Proposition (Responses)
10/17/2024 9:36,SkinCheck,https://drive.google.com/open?id=1_bbfJCoULroGfFLDu_V11MFyr7qKPsTb,AI-First Venture Thesis and Value Proposition (Responses)
10/17/2024 9:53,Preloved Guru,https://drive.google.com/open?id=15YEqivPr7qZjsG-o4dpHcZobpMxo13UxNPAv4S02nt4,AI-First Venture Thesis and Value Proposition (Responses)
10/17/2024 9:57,SkinCheck,https://drive.google.com/open?id=1PlihNWEKYVREq2jXK2jx-U5NJbJmOTp9,AI-First Venture Thesis and Value Proposition (Responses)
10/17/2024 10:14,Littoral,https://drive.google.com/open?id=1xjf2rCAk7Lnx92d9CR7vu6ICi1-L6C_g0w_fz-Kvx7c,AI-First Venture Thesis and Value Proposition (Responses)
10/17/2024 10:27,Datafend,https://drive.google.com/open?id=1JzUt1hN5Xm8iVESwGUigDkZwn1e4hwXx,AI-First Venture Thesis and Value Proposition (Responses)
10/16/2024 11:25,Shifa Precision,https://drive.google.com/open?id=1S7ozQsNsHRIyQcA54fZqH8xTS2uW5Krg,Developing an AI-First Framework (Responses)
10/16/2024 11:36,Preloved Guru,https://drive.google.com/open?id=1ntjUdiKd4xXcwmFWGgX5AyXH0k-3R4OeASNkxAJFRf0,Developing an AI-First Framework (Responses)
10/16/2024 11:49,Endurant Healthspan,https://drive.google.com/open?id=1NUepIcO0BeZo6OsxlKcie9SShUaCi7gDTo6BUlpKKug,Developing an AI-First Framework (Responses)
10/16/2024 12:07,SkinCheck,https://drive.google.com/open?id=1hDpG22hxtAuMGkf_H7_uIpo590dymseh,Developing an AI-First Framework (Responses)
10/16/2024 12:10,The Parkour Company,https://drive.google.com/open?id=1WjHGTZFKpQluqOHtdP38iIpycnvG4r65CzS-5Pyo754,Developing an AI-First Framework (Responses)
10/16/2024 12:22,Littoral,https://drive.google.com/open?id=1V25BQ_d2Q7FO_VAV_XuMaMYSW_rjSvDnjnWGeGaWkto,Developing an AI-First Framework (Responses)
10/16/2024 12:34,Datafend,https://drive.google.com/open?id=18l_KqbO-RpD0mDhmbvPhxE7edI-ZQ5sH,Developing an AI-First Framework (Responses)
10/16/2024 12:48,Littoral,https://drive.google.com/open?id=1uk-V_doCqncPVUrhKMovAbVo5L8mKmg9Int_OlPOTPk,Developing an AI-First Framework (Responses)
10/16/2024 13:12,Pixca,https://drive.google.com/open?id=1fhWNyo9Nu5LuSB8effuW0FX8e9aoPCKk,Developing an AI-First Framework (Responses)
